gameID,title,minPlayers,maxPlayers,maxPlaytime,minPlaytime,yearPublished
G407,"The Pillars of the Earth",2,4,120,90,2006
G408,"Pioneer Days",2,4,75,45,2017
G409,"Pit",3,8,90,30,1903
G410,"Planted: A Game of Nature & Nurture",2,5,30,20,2022
G411,"Pluckin' Pairs",3,8,50,50,2012
G412,"Plunder",2,6,45,30,2013
G413,"Point Salad",2,6,30,15,2019
G414,"Police Precinct",1,6,90,90,2013
G415,"Poo: The Card Game",2,8,15,5,2009
G416,"Port Royal",2,5,50,20,2014
G417,"Power Grid",2,6,120,120,2004
G418,"The Price Is Right",3,5,60,60,1973
G419,"Progress: Evolution of Technology",1,5,90,45,2014
G420,"Project L",1,4,40,20,2020
G421,"Project: ELITE",1,4,30,30,2016
G422,"Puerto Rico",3,5,150,90,2002
G423,"Pulsar 2849",2,4,90,60,2017
G424,"The Pursuit of Happiness",1,4,90,60,2015
G425,"PUSH",2,6,25,20,2018
G426,"QE",3,5,45,45,2019
G427,"Quacks",2,4,45,45,2018
G428,"Quadropolis",2,4,60,30,2016
G429,"The Quest for El Dorado",2,4,60,30,2017
G430,"Qwirkle",2,4,45,45,2006
G431,"Raccoon Tycoon: Deluxe Edition",2,6,120,30,2021
G432,"Race for the Galaxy",2,4,60,30,2007
G433,"Race to Adventure: The Spirit of the Century Exploration Game",2,5,20,20,2013
G434,"Raiders of the North Sea",2,4,80,60,2015
G435,"Railroad Revolution",2,4,90,45,2016
G436,"Rat-a-Tat Cat",2,6,10,10,1995
G437,"Rat-a-Tat Cat",2,6,10,10,1995
G438,"Rat-a-Tat Cat",2,6,10,10,1995
G439,"RattleSnake",2,4,15,15,2007
G440,"Ready Set Bet",2,9,60,45,2022
G441,"The Reckoners",1,6,100,60,2018
G442,"Red7",2,4,30,5,2014
G443,"Reef",2,4,45,30,2018
G444,"Relic Runners",2,5,80,40,2013
G445,"Rent a Hero",3,5,30,20,2012
G446,"Res Arcana",2,4,60,30,2019
G447,"The Resistance",5,10,30,30,2009
G448,"The Resistance",5,10,30,30,2009
G449,"The Resistance: Avalon",5,10,30,30,2012
G450,"Revolution!",3,4,60,60,2009
G451,"Ricochet Robots",1,99,30,30,1999
G452,"Riftforce",2,2,30,20,2021
G453,"Rise",2,4,60,60,2022
G454,"Rise of Augustus",2,6,30,30,2013
G455,"Rising 5: Runes of Asteros",1,5,30,30,2017
G456,"Risk",2,6,120,120,1959
G457,"Risk 2210 A.D.",2,5,240,240,2001
G458,"Risk: Star Wars Edition",2,4,45,30,2015
G459,"River of Gold",2,4,90,60,2024
G460,"River Valley Glassworks",1,5,45,25,2024
G461,"Robinson Crusoe: Adventures on the Cursed Island",1,4,120,60,2012
G462,"RoboRally",2,8,120,45,1994
G463,"Rococo",2,5,120,60,2013
G464,"Roll for the Galaxy",2,5,45,45,2014
G465,"Roll Player",1,4,90,60,2016
G466,"Roll Through the Ages: The Bronze Age",1,4,45,30,2008
G467,"Room 25",1,6,30,30,2013
G468,"Royals",2,5,60,60,2014
G469,"Rummikub",2,4,60,60,1977
G470,"Russian Railroads",2,4,120,120,2013
G471,"Saboteur",3,10,30,30,2004
