gameID,title,minPlayers,maxPlayers,maxPlaytime,minPlaytime,yearPublished
G210,"Flamecraft",1,5,60,60,2022
G211,"Flash Point: Fire Rescue",2,6,45,45,2011
G212,"Fleet",2,4,45,30,2012
G213,"Flip 7",3,18,20,20,2024
G214,"For Sale",3,6,30,30,1997
G215,"Forbidden Desert",2,5,45,45,2013
G216,"Forbidden Island",2,4,30,30,2010
G217,"Forest Shuffle",2,5,60,40,2023
G218,"Formula De",2,10,120,120,1997
G219,"Fortuna",2,4,60,60,2011
G220,"Fortune and Glory: The Cliffhanger Game",1,8,240,90,2011
G221,"The Fox Experiment",1,4,60,60,2023
G222,"Fractured Sky",1,5,75,45,2024
G223,"Friday",1,1,25,25,2011
G224,"Fromage",1,4,45,30,2024
G225,"Funfair",2,4,60,30,2021
G226,"Fury of Dracula (Third/Fourth Edition)",2,5,180,120,2015
G227,"FUSE",1,5,10,10,2015
G228,"The Game",1,5,20,20,2015
G229,"Game of Thrones: The Iron Throne",3,5,60,30,2016
G230,"Gauner raus!",2,4,60,30,2016
G231,"Geek Out!",2,99,30,30,2013
G232,"Get Bit!",2,7,20,10,2007
G233,"Get on Board: New York & London",2,5,30,30,2022
G234,"Ghost Blitz",2,8,20,20,2010
G235,"Ghost Stories",1,4,60,60,2008
G236,"Ghosts Love Candy Too",2,6,45,20,2022
G237,"Give Me the Brain!",3,8,15,15,1996
G238,"Gizmos",2,4,50,40,2018
G239,"Glass Road",1,4,80,20,2013
G240,"Gloom",2,5,60,60,2005
G241,"The Gnomes of Zavandor",2,4,90,60,2011
G242,"Going Postal",3,6,15,10,2019
G243,"Good Cop Bad Cop",4,8,20,10,2014
G244,"Grand Austria Hotel",2,4,120,60,2015
G245,"The Grand Carnival",1,4,60,45,2020
G246,"El Grande: Decennial Edition",2,5,90,90,2006
G247,"The Great Split",2,7,45,45,2022
G248,"The Grizzled",2,5,30,30,2015
G249,"The Guild of Merchant Explorers",1,4,45,45,2022
G250,"Guildhall",2,4,45,30,2012
G251,"Guillotine",2,5,30,30,1998
G252,"Habitats",1,5,50,30,2016
G253,"Hail Hydra",5,8,75,40,2018
G254,"Halli Galli",2,6,10,10,1990
G255,"Halloween Party",3,6,20,20,2004
G256,"Hanabi",2,5,25,25,2010
G257,"Hanamikoji",2,2,15,15,2013
G258,"Hansa Teutonica: Big Box",3,5,90,45,2020
G259,"Happy Salmon",3,8,2,2,2016
G260,"Harbour",1,4,60,30,2015
G261,"Hardback",1,5,90,45,2018
G262,"Le Havre",1,5,150,30,2008
G263,"Heat: Pedal to the Metal",1,6,60,30,2022
G264,"Herd Mentality",4,20,30,20,2020
G265,"Here to Slay",2,6,60,30,2020
"Hey,"That's My Fish!"",2,4,20,20,2003
G266,"High Society",3,5,30,15,1995
G267,"Hoity Toity",2,5,45,45,1990
G268,"Horrified",1,5,60,60,2019
G269,"I'm the Boss!",3,6,60,60,1994
G270,"ICECOOL",2,4,30,30,2016
G271,"Ideology: The War of Ideas",2,5,90,90,2003
G272,"Imaginiff",3,8,30,30,1998
G273,"Imhotep",2,4,40,40,2016
